Date,Index Code,Index Name(Eng.),Constituent Code,Constituent Name(Eng.),Exchange,Weight(%),Trading Currency
2014-12-01,000300,CSI 300,600518,Kangmei Pharmaceutical Co Ltd,Shanghai,0.37,CNY
2014-12-01,000300,CSI 300,600519,Kweichow Moutai Co Ltd,Shanghai,1.12,CNY
2014-12-01,000300,CSI 300,600535,"TASLY PHARMACEUTICAL GROUP CO.,LTD",Shanghai,0.39,CNY
2014-12-01,000300,CSI 300,600546,"Shanxi Coal International Energy Group Co., Ltd",Shanghai,0.08,CNY
2014-12-01,000300,CSI 300,600547,Shandong Gold-Mining Co Ltd,Shanghai,0.21,CNY
2014-12-01,000300,CSI 300,600549,Xiamen Tungsten Co Ltd,Shanghai,0.17,CNY
2014-12-01,000300,CSI 300,600583,Offshore Oil Engineering Co Ltd,Shanghai,0.21,CNY
2014-12-01,000300,CSI 300,600585,Anhui Conch Cement Co Ltd,Shanghai,0.55,CNY
2014-12-01,000300,CSI 300,600588,"Yonyou Software Co., Ltd",Shanghai,0.22,CNY
2014-12-01,000300,CSI 300,600597,Bright Dairy & Food Co Ltd,Shanghai,0.15,CNY
2014-12-01,000300,CSI 300,600600,Tsingtao Brewery Co Ltd,Shanghai,0.21,CNY
2014-12-01,000300,CSI 300,600633,"Zhe Jiang Daily Media Group Co.,Ltd",Shanghai,0.06,CNY
2014-12-01,000300,CSI 300,600637,"BesTV New Media Co., Ltd.",Shanghai,0.40,CNY
2014-12-01,000300,CSI 300,600642,Shenergy Co Ltd,Shanghai,0.19,CNY
2014-12-01,000300,CSI 300,600648,Shanghai Wai Gaoqiao Free Trade Zone Development Co Ltd,Shanghai,0.13,CNY
2014-12-01,000300,CSI 300,600649,"Shanghai Chengtou Holding Co., Ltd.",Shanghai,0.17,CNY
2014-12-01,000300,CSI 300,600655,Shanghai Yuyuan Tourist Mart Co Ltd,Shanghai,0.18,CNY
2014-12-01,000300,CSI 300,600660,"Fuyao Glass Industry Group Co.,Ltd",Shanghai,0.25,CNY
