"成分券代码.Constituent.Code","成分券名称.Constituent.Name","成分券英文名称.Constituent.Name.Eng..","交易所.Exchange",""
"600395","盘江股份","Guizhou Panjiang Refined Coal Co Ltd","Shanghai","sh600395"
"600398","海澜之家","Heilan Home Co.,Ltd","Shanghai","sh600398"
"600406","国电南瑞","NARI Technology Co., Ltd.","Shanghai","sh600406"
"600415","小商品城","Zhejiang China Commodities City Group Co Ltd","Shanghai","sh600415"
"600436","片仔癀","Zhangzhou Pientzehuang Pharmaceutical Co Ltd","Shanghai","sh600436"
"600485","信威集团","Beijing Xinwei Telecom Technology Group Co., Ltd.","Shanghai","sh600485"
"600489","中金黄金","Zhongjin Gold Co Ltd","Shanghai","sh600489"
"600497","驰宏锌锗","Yunnan Chihong Zinc&Germanium Co Ltd","Shanghai","sh600497"
"600498","烽火通信","Fiberhome Telecommunication Technologies Co Ltd","Shanghai","sh600498"
"600516","方大炭素","Fangda Carbon New Material Co.,Ltd","Shanghai","sh600516"
"600518","康美药业","Kangmei Pharmaceutical Co Ltd","Shanghai","sh600518"
"600519","贵州茅台","Kweichow Moutai Co Ltd","Shanghai","sh600519"
"600535","天士力","TASLY PHARMACEUTICAL GROUP CO.,LTD","Shanghai","sh600535"
"600547","山东黄金","Shandong Gold-Mining Co Ltd","Shanghai","sh600547"
"600549","厦门钨业","Xiamen Tungsten Co Ltd","Shanghai","sh600549"
"600570","恒生电子","Hundsun Technologies Inc.","Shanghai","sh600570"
"600578","京能电力","BEIJING JINGNENG POWER CO., LTD.","Shanghai","sh600578"
"600583","海油工程","Offshore Oil Engineering Co Ltd","Shanghai","sh600583"
"600585","海螺水泥","Anhui Conch Cement Co Ltd","Shanghai","sh600585"
"600588","用友软件","Yonyou Software Co., Ltd","Shanghai","sh600588"
"600597","光明乳业","Bright Dairy & Food Co Ltd","Shanghai","sh600597"
"600600","青岛啤酒","Tsingtao Brewery Co Ltd","Shanghai","sh600600"
"600633","浙报传媒","Zhe Jiang Daily Media Group Co.,Ltd","Shanghai","sh600633"
"600637","百视通","BesTV New Media Co., Ltd.","Shanghai","sh600637"
"600642","申能股份","Shenergy Co Ltd","Shanghai","sh600642"
"600648","外高桥","Shanghai Wai Gaoqiao Free Trade Zone Development Co Ltd","Shanghai","sh600648"
"600649","城投控股","Shanghai Chengtou Holding Co., Ltd.","Shanghai","sh600649"
"600655","豫园商城","Shanghai Yuyuan Tourist Mart Co Ltd","Shanghai","sh600655"
"600660","福耀玻璃","Fuyao Glass Industry Group Co.,Ltd","Shanghai","sh600660"
"600663","陆家嘴","Shanghai Lujiazui Finance and Trade Zone Development Co Ltd","Shanghai","sh600663"
"600664","哈药股份","Harbin Pharmaceutical Group Co Ltd","Shanghai","sh600664"
"600674","川投能源","Sichuan Chuantou Energy Co Ltd","Shanghai","sh600674"
"600688","上海石化","Sinopec Shanghai Petrochemical Co Ltd","Shanghai","sh600688"
"600690","青岛海尔","Qingdao Haier Co Ltd","Shanghai","sh600690"
